SFR	EW	SFRsup	SFRinf	EWsup	EWinf	z	
18.6	208.24	4.73	3.78	31.38	31.15	2.17
2.57	384.48	1.68	0.96	128.54	92.99	2.45
0.95	152.81	0.25	0.16	17.19	15.26	2.15
1.26	182.05	0.63	0.73	36.79	32.83	2.50	
32.04	65.39	7.31	5.56	11.92	10.35	2.16
4.68	73.35	1.13	0.69	15.69	15.48	2.89
4.67	176.60	2.24	0.93	28.39	25.45	2.67
116.63	84.98	39.05	25.78	9.81	9.29	2.53
0.26	189.47	0.02	0.01	21.53	22.18	2.53
7.15	60.61	1.96	1.27	12.26	12.22	2.19
20.28	79.40	4.50	3.69	10.24	8.57	2.21
13.42	57.40	4.36	2.74	8.03	6.78	2.32
13.33	676.84	5.71	4.94	145.18	130.12	2.42
13.76	155.01	5.85	4.73	39.26	36.42	2.60
2.47	95.23	0.62	0.34	18.52	17.28	2.46
5.08	56.44	0.98	0.61	10.87	9.70	2.60
124.25	542.11	63.10	43.35	107.14	105.56	2.46
1.51	171.99	0.32	0.44	35.22	31.52	2.26
5.38	183.22	2.53	1.64	40.04	35.85	2.69
1.79	189.92	0.52	0.29	30.33	28.60	2.56
3.54	107.90	0.84	0.45	15.58	14.60	2.43
14.12	85.83	3.66	2.11	9.13	8.23	2.82
2.82	277.69	1.99	0.78	54.64	41.61	2.87
17.78	180.42	9.38	6.49	56.45	45.43	2.26
0.78	99.59	0.43	0.19	14.09	11.38	2.36
23.05	86.27	12.18	7.69	19.12	14.77	2.43
5.28	257.59	2.46	1.14	32.94	25.95	3.01
2.07	428.98	1.96	0.73	126.67	87.35	2.69
17.36	158.02	7.40	5.01	23.88	20.53	3.08
0.40	241.12	0.34	0.08	29.86	26.18	2.67
7.03	44.02	1.69	1.00	7.11	6.22	2.55
3.22	233.68	0.73	0.55	24.66	23.25	3.18
1.49	306.80	0.82	0.35	82.15	70.67	3.12
1.88	213.79	0.47	0.34	59.50	59.98	2.80
8.57	81.89	2.70	1.53	13.69	14.70	3.13
7.38	71.15	1.07	0.68	7.44	7.02	2.19
15.79	69.24	3.33	3.15	9.50	8.42	2.25
0.13	379.65	0.01	0.01	57.96	51.27	2.99
0.14	274.99	0.03	0.02	46.69	43.49	2.22
7.68	179.99	4.17	2.57	42.52	41.30	3.19
8.03	102.12	1.59	1.38	13.01	12.08	2.21
22.31	261.69	9.76	6.85	64.73	53.20	2.53
2.44	306.22	0.66	1.19	68.26	62.88	3.36
